Tên_mặt_hàng,Thị_trường,Loại_giá,Nguồn,Ngày,Giá
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-05-19,6000.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-05-19,7125.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-05-16,8460.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-05-16,10070.0
OM 5451,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-05-16,5900.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-05-15,6000.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-05-14,7125.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,CTV địa phương,2025-05-14,15300.0
OM 5451,Trà Vinh,Thương lái thu mua,CTV địa phương,2025-05-14,6850.0
OM 5451,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-05-13,7750.0
ST24,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-05-13,10650.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-05-12,6000.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-05-12,7075.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-05-09,8520.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-05-09,10250.0
OM 5451,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-05-09,6050.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-05-07,7025.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,CTV địa phương,2025-05-07,15400.0
OM 5451,Trà Vinh,Thương lái thu mua,CTV địa phương,2025-05-07,6950.0
OM 5451,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-05-06,8000.0
ST24,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-05-06,10800.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-05-05,6000.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-05-05,7025.0
OM 5451,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-29,7850.0
ST24,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-29,10850.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-28,6000.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-28,7025.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-04-25,8510.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-04-25,10120.0
OM 5451,Kiên Giang,Thương lái thu mua,CTV địa phương,2025-04-25,6500.0
OM 5451,An Giang,Thương lái thu mua,CTV địa phương,2025-04-24,6300.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-24,6200.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-23,7075.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,CTV địa phương,2025-04-23,15400.0
OM 5451,Trà Vinh,Thương lái thu mua,CTV địa phương,2025-04-23,6950.0
OM 5451,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-22,7850.0
ST24,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-22,10850.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-21,6000.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-21,7075.0
OM 5451,An Giang,Thương lái thu mua,CTV địa phương,2025-04-17,6175.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-17,6200.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-16,7075.0
ST24,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-16,9325.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,CTV địa phương,2025-04-16,15400.0
OM 5451,Trà Vinh,Thương lái thu mua,CTV địa phương,2025-04-16,7200.0
OM 5451,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-15,7700.0
ST24,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-15,10950.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-14,6200.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-14,7075.0
ST24,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-14,9325.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-10,6200.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-09,6825.0
ST24,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-09,9675.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,CTV địa phương,2025-04-09,15200.0
OM 5451,Trà Vinh,Thương lái thu mua,CTV địa phương,2025-04-09,6400.0
OM 5451,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-08,7600.0
ST24,Hậu Giang,Thương lái thu mua,CTV địa phương,2025-04-08,10650.0
OM 5451,Cần Thơ,Thương lái thu mua,CTV địa phương,2025-04-03,6200.0
OM 5451,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-02,6525.0
ST24,Sóc Trăng,Thương lái thu mua,CTV địa phương,2025-04-02,9650.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,CTV địa phương,2025-04-02,15000.0
