Tên_mặt_hàng,Ngày(int),Giá,Thị_trường,Loại_giá,Đơn_vị_tính,Nguồn,Ngành_hàng,Ngày
OM 5451,1595,8350.0,4,5,3,0,0,2025-05-18
Gạo NL 25% tấm,1588,9400.0,7,5,3,0,0,2025-05-11
Gạo XK 5% tấm,1588,10100.0,7,5,3,0,0,2025-05-11
Lúa IR 50404,1525,6800.0,4,5,3,0,0,2025-03-09
Lúa Jasmine,1525,7400.0,11,5,3,0,0,2025-03-09
Gạo thơm Đài Loan (trong),1077,20000.0,0,5,3,0,0,2023-12-17
Gạo NL 15%,1077,9520.0,7,5,3,0,0,2023-12-17
Gạo Sóc thường,1042,14000.0,0,5,3,0,0,2023-11-12
Lúa OM 5451,1014,6900.0,7,5,3,0,0,2023-10-15
Gạo Hương Lài,1014,19000.0,0,5,3,0,0,2023-10-15
Gạo Jasmine,1007,15000.0,4,5,3,0,0,2023-10-08
Lúa IR Jasmine (lúa tươi),986,6600.0,4,5,3,0,0,2023-09-17
Lúa OM 4218,860,6900.0,4,2,3,0,0,2023-05-14
Lúa ST24,468,8450.0,6,5,3,0,0,2022-04-17
Bắp cải,1595,10000.0,9,1,3,0,1,2025-05-18
Bưởi da xanh,1595,30000.0,9,1,2,0,1,2025-05-18
Cà chua,1595,35000.0,9,1,3,0,1,2025-05-18
Cà rốt,1595,12000.0,9,1,3,0,1,2025-05-18
Chanh,1595,30000.0,9,1,3,0,1,2025-05-18
Đậu cove,1595,15000.0,9,1,3,0,1,2025-05-18
Dưa chuột/dưa chuột,1595,9000.0,9,1,3,0,1,2025-05-18
Khoai tây,1595,15000.0,9,1,3,0,1,2025-05-18
Mận hậu,1595,45000.0,9,1,3,0,1,2025-05-18
Mít thái,1595,25000.0,9,1,3,0,1,2025-05-18
Mồng tơi,1595,18000.0,9,1,3,0,1,2025-05-18
Mướp đắng,1595,25000.0,9,1,3,0,1,2025-05-18
Mướp hương,1595,18000.0,9,1,3,0,1,2025-05-18
Quả bí đỏ,1595,15000.0,9,1,3,0,1,2025-05-18
Quả bí xanh,1595,15000.0,9,1,3,0,1,2025-05-18
Rau cải,1595,12000.0,9,1,3,0,1,2025-05-18
Rau ngót,1595,7000.0,9,1,3,0,1,2025-05-18
Su su quả,1595,12000.0,9,1,3,0,1,2025-05-18
Cam sành,1588,24000.0,5,1,3,0,1,2025-05-11
Măng cụt,1588,40000.0,5,1,3,0,1,2025-05-11
Mướp,1588,15000.0,5,1,3,0,1,2025-05-11
Rau cải mơ,1588,30000.0,5,1,3,0,1,2025-05-11
Rau cải ngọt,1588,30000.0,5,1,3,0,1,2025-05-11
Rau muống,1588,12000.0,5,1,1,0,1,2025-05-11
Bưởi long Núm,1581,10000.0,11,5,3,0,1,2025-05-04
Bưởi năm roi,1581,15000.0,11,5,3,0,1,2025-05-04
Chôm chôm Java,1581,29500.0,11,5,3,0,1,2025-05-04
Chuối sim,1581,10000.0,11,5,3,0,1,2025-05-04
Đu đủ,1581,9000.0,11,5,3,0,1,2025-05-04
Hồng xiêm,1581,45000.0,11,5,3,0,1,2025-05-04
Sầu Riêng Ri 6 (loại đẹp),1581,100000.0,11,5,3,0,1,2025-05-04
Sầu Riêng Ri 6 (loại xô),1581,85000.0,11,5,3,0,1,2025-05-04
Rau cần,1553,12000.0,5,1,1,0,1,2025-04-06
Na,1399,55000.0,9,1,3,0,1,2024-11-03
Xoài Đài Loan,1329,30000.0,9,1,3,0,1,2024-08-25
Nhãn tiêu quế,1273,15000.0,11,5,3,0,1,2024-06-30
Dưa chuột/dưa chuội,1077,9000.0,9,1,3,0,1,2023-12-17
Quýt đường,1000,45000.0,6,1,3,0,1,2023-10-01
Xoài cát Hòa Lộc,1000,42500.0,0,0,3,0,1,2023-10-01
Bưởi năm roi (loại 1),1000,34000.0,6,5,3,0,1,2023-10-01
Cam sành (loại 1),1000,23000.0,2,0,3,0,1,2023-10-01
Cam sành (loại 2),1000,20000.0,2,0,3,0,1,2023-10-01
Chôm chôm đường,1000,48000.0,13,0,3,0,1,2023-10-01
Sầu riêng cơm vàng hạt lép,1000,69000.0,2,5,3,0,1,2023-10-01
Trái dứa/thơm (nhỏ),1000,15000.0,4,5,3,0,1,2023-10-01
Trái dứa/thơm (to),1000,14000.0,4,5,3,0,1,2023-10-01
Bưởi da xanh (loại 1),1000,35000.0,2,5,3,0,1,2023-10-01
Dừa,1000,90000.0,3,0,0,0,1,2023-10-01
Dưa hấu (loại 2),1000,10000.0,2,1,3,0,1,2023-10-01
Ngọn su su,545,15000.0,9,1,3,0,1,2022-07-03
Đu đủ ruột đỏ,328,15000.0,9,1,3,0,1,2021-11-28
