Ngày,Tên_mặt_hàng,Thị_trường,Loại_giá,Nguồn,Giá,Ngành_hàng
2020-01-01,24,19,7,2,32639.0,0
2020-01-01,24,12,7,2,32000.0,0
2020-01-02,24,19,7,2,32639.0,0
2020-01-02,24,12,7,2,32000.0,0
2020-01-03,24,19,7,2,32539.0,0
2020-01-03,24,12,7,2,32000.0,0
2020-01-04,24,12,7,2,32000.0,0
2020-01-05,24,12,7,2,32000.0,0
2020-01-06,24,19,7,2,32519.0,0
2020-01-06,24,12,7,2,32402.0,0
2020-01-07,24,19,7,2,32181.0,0
2020-01-07,24,12,7,2,32073.0,0
2020-01-08,24,19,7,2,32286.0,0
2020-01-08,24,12,7,2,32202.0,0
2020-01-09,24,19,7,2,32133.0,0
2020-01-09,24,12,7,2,32038.0,0
2020-01-10,24,19,7,2,32131.0,0
2020-01-10,24,12,7,2,32035.0,0
2020-01-11,24,12,7,2,32035.0,0
2020-01-12,24,12,7,2,32035.0,0
2020-01-13,24,19,7,2,32019.0,0
2020-01-13,24,12,7,2,31750.0,0
2020-01-14,24,19,7,2,31619.0,0
2020-01-14,24,12,7,2,31050.0,0
2020-01-15,24,19,7,2,31631.0,0
2020-01-15,24,12,7,2,31250.0,0
2020-01-16,24,19,7,2,31703.0,0
2020-01-16,24,12,7,2,31450.0,0
2020-01-17,24,19,7,2,31819.0,0
2020-01-17,24,12,7,2,31550.0,0
2020-01-18,24,12,7,2,31550.0,0
2020-01-19,24,12,7,2,31550.0,0
2020-01-20,24,19,7,2,31700.0,0
2020-01-20,24,12,7,2,31200.0,0
2020-01-21,24,19,7,2,31400.0,0
2020-01-21,24,12,7,2,30900.0,0
2020-01-22,24,19,7,2,31900.0,0
2020-01-22,24,12,7,2,31400.0,0
2020-01-23,24,19,7,2,32000.0,0
2020-01-23,24,12,7,2,31500.0,0
2020-01-24,24,19,7,2,32500.0,0
2020-01-24,24,12,7,2,32000.0,0
2020-01-25,24,12,7,2,32000.0,0
2020-01-26,24,12,7,2,32000.0,0
2020-01-27,24,19,7,2,31500.0,0
2020-01-27,24,12,7,2,31000.0,0
2020-01-28,24,19,7,2,31600.0,0
2020-01-28,24,12,7,2,31100.0,0
2020-01-29,24,19,7,2,31500.0,0
2020-01-29,24,12,7,2,31000.0,0
2020-01-30,24,19,7,2,31000.0,0
2020-01-30,24,12,7,2,30500.0,0
2020-01-31,24,19,7,2,30900.0,0
2020-01-31,24,12,7,2,30400.0,0
2020-02-01,24,12,7,2,30400.0,0
2020-02-02,24,12,7,2,30400.0,0
2020-02-03,24,19,7,2,31281.0,0
2020-02-03,24,12,7,2,31250.0,0
2020-02-04,24,19,7,2,31282.0,0
2020-02-04,24,12,7,2,30750.0,0
2020-02-05,24,19,7,2,30719.0,0
2020-02-05,24,12,7,2,30550.0,0
2020-02-06,24,19,7,2,30631.0,0
2020-02-06,24,12,7,2,30450.0,0
2020-02-07,24,19,7,2,30886.0,0
2020-02-07,24,12,7,2,30750.0,0
2020-02-08,24,12,7,2,30750.0,0
2020-02-09,24,12,7,2,30750.0,0
2020-02-10,24,19,7,2,30797.0,0
2020-02-10,24,12,7,2,30650.0,0
2020-02-11,24,19,7,2,30697.0,0
2020-02-11,24,12,7,2,30750.0,0
2020-02-12,24,19,7,2,30906.0,0
2020-02-12,24,12,7,2,30650.0,0
2020-02-13,24,19,7,2,30706.0,0
2020-02-13,24,12,7,2,30550.0,0
2020-02-14,24,19,7,2,31114.0,0
2020-02-14,24,12,7,2,30950.0,0
2020-02-15,24,12,7,2,30950.0,0
2020-02-16,24,12,7,2,30950.0,0
2020-02-17,24,19,7,2,31481.0,0
2020-02-17,24,12,7,2,31450.0,0
2020-02-18,24,19,7,2,31481.0,0
2020-02-18,24,12,7,2,31550.0,0
2020-02-19,24,19,7,2,31481.0,0
2020-02-19,24,12,7,2,31067.0,0
2020-02-20,24,19,7,2,30981.0,0
2020-02-20,24,12,7,2,31250.0,0
2020-02-21,24,19,7,2,31025.0,0
2020-02-21,24,12,7,2,31050.0,0
2020-02-22,24,12,7,2,31050.0,0
2020-02-23,24,12,7,2,31050.0,0
2020-02-24,24,19,7,2,31281.0,0
2020-02-24,24,12,7,2,31450.0,0
2020-02-25,24,19,7,2,31069.0,0
2020-02-25,24,12,7,2,31050.0,0
2020-02-26,24,19,7,2,31281.0,0
2020-02-26,24,12,7,2,31250.0,0
2020-02-27,24,19,7,2,31481.0,0
2020-02-27,24,12,7,2,31550.0,0
2020-02-28,24,19,7,2,31419.0,0
2020-02-28,24,12,7,2,31450.0,0
2020-02-29,24,12,7,2,31450.0,0
2020-03-01,24,12,7,2,31450.0,0
2020-03-02,24,19,7,2,31367.0,0
2020-03-02,24,12,7,2,31250.0,0
2020-03-03,24,19,7,2,31567.0,0
2020-03-03,24,12,7,2,31450.0,0
2020-03-04,24,19,7,2,32567.0,0
2020-03-04,24,12,7,2,32133.0,0
2020-03-05,24,19,7,2,31767.0,0
2020-03-05,24,12,7,2,31450.0,0
2020-03-06,24,19,7,2,30883.0,0
2020-03-06,24,12,7,2,30750.0,0
2020-03-07,24,12,7,2,30750.0,0
2020-03-08,24,12,7,2,30750.0,0
2020-03-09,24,19,7,2,30714.0,0
2020-03-09,24,12,7,2,30650.0,0
2020-03-10,24,19,7,2,30714.0,0
2020-03-10,24,12,7,2,30450.0,0
2020-03-11,24,19,7,2,31314.0,0
2020-03-11,24,12,7,2,31250.0,0
2020-03-12,24,19,7,2,31383.0,0
2020-03-12,24,12,7,2,30950.0,0
2020-03-13,24,19,7,2,30614.0,0
2020-03-13,24,12,7,2,30517.0,0
2020-03-14,24,12,7,2,30517.0,0
2020-03-15,24,12,7,2,30517.0,0
2020-03-16,24,19,7,2,30519.0,0
2020-03-16,24,12,7,2,30250.0,0
2020-03-17,24,19,7,2,30131.0,0
2020-03-17,24,12,7,2,29750.0,0
2020-03-18,24,19,7,2,29914.0,0
2020-03-18,24,12,7,2,30450.0,0
2020-03-19,24,19,7,2,30214.0,0
2020-03-19,24,12,7,2,30250.0,0
2020-03-20,24,19,7,2,30014.0,0
2020-03-20,24,12,7,2,30250.0,0
2020-03-21,24,12,7,2,30250.0,0
2020-03-22,24,12,7,2,30250.0,0
2020-03-23,24,19,7,2,30467.0,0
2020-03-23,24,12,7,2,30250.0,0
2020-03-24,24,19,7,2,30567.0,0
2020-03-24,24,12,7,2,30250.0,0
2020-03-25,24,19,7,2,30767.0,0
2020-03-25,24,12,7,2,30650.0,0
2020-03-26,24,19,7,2,30767.0,0
2020-03-26,24,12,7,2,30800.0,0
2020-03-27,24,19,7,2,30367.0,0
2020-03-27,24,12,7,2,30250.0,0
2020-03-28,24,12,7,2,30250.0,0
2020-03-29,24,12,7,2,30250.0,0
2020-03-30,24,19,7,2,29725.0,0
2020-03-30,24,12,7,2,29750.0,0
2020-03-31,24,19,7,2,29719.0,0
2020-03-31,24,12,7,2,29750.0,0
2020-04-01,24,19,7,2,29419.0,0
2020-04-01,24,12,7,2,29250.0,0
2020-04-02,24,19,7,2,29200.0,0
2020-04-02,24,12,7,2,28900.0,0
2020-04-03,24,19,7,2,30000.0,0
2020-04-03,24,12,7,2,29700.0,0
2020-04-04,24,12,7,2,29700.0,0
2020-04-05,24,12,7,2,29700.0,0
2020-04-06,24,19,7,2,29833.0,0
2020-04-06,24,12,7,2,29467.0,0
2020-04-07,24,19,7,2,29833.0,0
2020-04-07,24,12,7,2,29467.0,0
2020-04-08,24,19,7,2,30033.0,0
2020-04-08,24,12,7,2,29667.0,0
2020-04-09,24,19,7,2,30067.0,0
2020-04-09,24,12,7,2,29567.0,0
2020-04-10,24,19,7,2,29967.0,0
2020-04-10,24,12,7,2,29467.0,0
2020-04-11,24,12,7,2,29467.0,0
2020-04-12,24,12,7,2,29467.0,0
2020-04-13,24,19,7,2,29933.0,0
2020-04-13,24,12,7,2,29467.0,0
2020-04-14,24,19,7,2,29933.0,0
2020-04-14,24,12,7,2,29467.0,0
2020-04-15,24,19,7,2,29733.0,0
2020-04-15,24,12,7,2,29167.0,0
2020-04-16,24,19,7,2,30033.0,0
2020-04-16,24,12,7,2,29467.0,0
2020-04-17,24,19,7,2,30133.0,0
2020-04-17,24,12,7,2,29567.0,0
2020-04-18,24,12,7,2,29567.0,0
2020-04-19,24,12,7,2,29567.0,0
2020-04-20,24,19,7,2,29933.0,0
2020-04-20,24,12,7,2,29367.0,0
2020-04-21,24,19,7,2,29833.0,0
2020-04-21,24,12,7,2,29267.0,0
2020-04-22,24,19,7,2,29400.0,0
2020-04-22,24,12,7,2,28767.0,0
2020-04-23,24,19,7,2,29000.0,0
2020-04-23,24,12,7,2,28367.0,0
2020-04-24,24,19,7,2,29300.0,0
2020-04-24,24,12,7,2,28667.0,0
2020-04-25,24,12,7,2,28667.0,0
2020-04-26,24,12,7,2,28667.0,0
2020-04-27,24,19,7,2,29633.0,0
2020-04-27,24,12,7,2,29167.0,0
2020-04-28,24,19,7,2,29733.0,0
2020-04-28,24,12,7,2,29267.0,0
2020-04-29,24,19,7,2,30367.0,0
2020-04-29,24,12,7,2,29867.0,0
2020-04-30,24,19,7,2,30467.0,0
2020-04-30,24,12,7,2,29967.0,0
2020-05-01,24,19,7,2,30567.0,0
2020-05-01,24,12,7,2,30067.0,0
2020-05-02,24,12,7,2,30067.0,0
2020-05-03,24,12,7,2,30067.0,0
2020-05-04,24,19,7,2,30933.0,0
2020-05-04,24,12,7,2,30467.0,0
2020-05-05,24,19,7,2,30867.0,0
2020-05-05,24,12,7,2,30367.0,0
2020-05-06,24,19,7,2,31067.0,0
2020-05-06,24,12,7,2,30567.0,0
2020-05-07,24,19,7,2,31067.0,0
2020-05-07,24,12,7,2,30567.0,0
2020-05-08,24,19,7,2,30767.0,0
2020-05-08,24,12,7,2,30267.0,0
2020-05-09,24,12,7,2,30267.0,0
2020-05-10,24,12,7,2,30267.0,0
2020-05-11,24,19,7,2,30867.0,0
2020-05-11,24,12,7,2,30367.0,0
2020-05-12,24,19,7,2,31067.0,0
2020-05-12,24,12,7,2,30567.0,0
2020-05-13,24,19,7,2,30767.0,0
2020-05-13,24,12,7,2,30267.0,0
2020-05-14,24,19,7,2,30533.0,0
2020-05-14,24,12,7,2,29967.0,0
2020-05-15,24,19,7,2,31033.0,0
2020-05-15,24,12,7,2,30367.0,0
2020-05-16,24,12,7,2,30367.0,0
2020-05-17,24,12,7,2,30367.0,0
2020-05-18,24,19,7,2,30867.0,0
2020-05-18,24,12,7,2,30367.0,0
2020-05-19,24,19,7,2,31067.0,0
2020-05-19,24,12,7,2,30567.0,0
2020-05-20,24,19,7,2,30767.0,0
2020-05-20,24,12,7,2,30267.0,0
2020-05-21,24,19,7,2,30533.0,0
2020-05-21,24,12,7,2,29967.0,0
2020-05-22,24,19,7,2,31033.0,0
2020-05-22,24,12,7,2,30367.0,0
2020-05-23,24,12,7,2,30367.0,0
2020-05-24,24,12,7,2,30367.0,0
2020-05-25,24,19,7,2,31667.0,0
2020-05-25,24,12,7,2,31167.0,0
2020-05-26,24,19,7,2,32067.0,0
2020-05-26,24,12,7,2,31567.0,0
2020-05-27,24,19,7,2,31867.0,0
2020-05-27,24,12,7,2,31367.0,0
2020-05-28,24,19,7,2,31367.0,0
2020-05-28,24,12,7,2,30867.0,0
2020-05-29,24,19,7,2,31167.0,0
2020-05-29,24,12,7,2,30667.0,0
2020-05-30,24,12,7,2,30667.0,0
2020-05-31,24,12,7,2,30667.0,0
2020-06-01,24,19,7,2,31167.0,0
2020-06-01,24,12,7,2,30667.0,0
2020-06-02,24,19,7,2,30967.0,0
2020-06-02,24,12,7,2,30467.0,0
2020-06-03,24,19,7,2,31533.0,0
2020-06-03,24,12,7,2,30867.0,0
2020-06-04,24,19,7,2,31933.0,0
2020-06-04,24,12,7,2,31267.0,0
2020-06-05,24,19,7,2,31867.0,0
2020-06-05,24,12,7,2,31167.0,0
2020-06-06,24,12,7,2,31167.0,0
2020-06-07,24,12,7,2,31167.0,0
2020-06-08,24,19,7,2,32567.0,0
2020-06-08,24,12,7,2,31867.0,0
2020-06-09,24,19,7,2,32700.0,0
2020-06-09,24,12,7,2,32067.0,0
2020-06-10,24,19,7,2,32267.0,0
2020-06-10,24,12,7,2,31667.0,0
2020-06-11,24,19,7,2,31767.0,0
2020-06-11,24,12,7,2,31167.0,0
2020-06-12,24,19,7,2,31433.0,0
2020-06-12,24,12,7,2,30867.0,0
2020-06-13,24,12,7,2,30867.0,0
2020-06-14,24,12,7,2,30867.0,0
2020-06-15,24,19,7,2,31467.0,0
2020-06-15,24,12,7,2,30867.0,0
2020-06-16,24,19,7,2,31167.0,0
2020-06-16,24,12,7,2,30567.0,0
2020-06-17,24,19,7,2,30867.0,0
2020-06-17,24,12,7,2,30267.0,0
2020-06-18,24,19,7,2,30967.0,0
2020-06-18,24,12,7,2,30367.0,0
2020-06-19,24,19,7,2,30667.0,0
2020-06-19,24,12,7,2,30067.0,0
2020-06-20,24,12,7,2,30067.0,0
2020-06-21,24,12,7,2,30067.0,0
2020-06-22,24,19,7,2,30767.0,0
2020-06-22,24,12,7,2,30167.0,0
2020-06-23,24,19,7,2,30967.0,0
2020-06-23,24,12,7,2,30367.0,0
2020-06-24,24,19,7,2,30967.0,0
2020-06-24,24,12,7,2,30367.0,0
2020-06-25,24,19,7,2,30767.0,0
2020-06-25,24,12,7,2,30167.0,0
2020-06-26,24,19,7,2,30633.0,0
2020-06-26,24,12,7,2,29967.0,0
2020-06-27,24,12,7,2,29967.0,0
2020-06-28,24,12,7,2,29967.0,0
2020-06-29,24,19,7,2,30633.0,0
2020-06-29,24,12,7,2,29967.0,0
2020-06-30,24,19,7,2,31033.0,0
2020-06-30,24,12,7,2,30367.0,0
2020-07-01,24,19,7,2,31300.0,0
2020-07-01,24,12,7,2,30567.0,0
2020-07-02,24,19,7,2,31733.0,0
2020-07-02,24,12,7,2,30967.0,0
2020-07-03,24,19,7,2,31733.0,0
2020-07-03,24,12,7,2,30967.0,0
2020-07-04,24,12,7,2,30967.0,0
2020-07-05,24,12,7,2,30967.0,0
2020-07-06,24,19,7,2,31767.0,0
2020-07-06,24,12,7,2,30967.0,0
2020-07-07,24,19,7,2,31333.0,0
2020-07-07,24,12,7,2,30567.0,0
2020-07-08,24,19,7,2,31633.0,0
2020-07-08,24,12,7,2,30867.0,0
2020-07-09,24,19,7,2,31633.0,0
2020-07-09,24,12,7,2,30867.0,0
2020-07-10,24,19,7,2,31667.0,0
