Tên_mặt_hàng,Thị_trường,Loại_giá,Đơn_vị_tính,Loại_tiền,Nguồn,Ngày,Giá
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,16000.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7000.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,6000.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7125.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,16000.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7375.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7125.0
Gạo 15% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,14000.0
Gạo 25% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,13600.0
Gạo 5% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,14500.0
Gạo thơm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,19000.0
Gạo thường (IR 50404),Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,15000.0
IR 50404,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6500.0
OM 6976,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,7200.0
Đài thơm 8,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6900.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,8460.0
Gạo NL 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,9330.0
Gạo XK 15% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,9760.0
Gạo XK 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,9680.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,10070.0
IR 50404,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,5400.0
Jasmine,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6700.0
Nhật,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,7800.0
OM 18,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6800.0
OM 5451,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,5900.0
RVT,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,7800.0
