Tên_mặt_hàng,Ngày,Actual_Giá,Forecasted_Giá
0,2020-01-08,32286.0,78790.125
0,2020-01-08,32202.0,66615.75
0,2020-01-09,32038.0,78945.4765625
0,2020-01-09,32133.0,79091.546875
0,2020-01-10,32035.0,66706.6484375
0,2020-01-10,32131.0,79227.15625
0,2020-01-13,31750.0,66792.4140625
0,2020-01-13,32019.0,79586.3203125
0,2020-01-14,31050.0,67015.796875
0,2020-01-14,31619.0,79694.1171875
0,2020-01-15,31250.0,67078.9921875
0,2020-01-15,31631.0,79795.5546875
0,2020-01-16,31450.0,67136.6640625
0,2020-01-16,31703.0,79891.046875
0,2020-01-17,31819.0,67188.6640625
0,2020-01-17,31550.0,67235.0234375
0,2020-01-20,31200.0,79979.5078125
0,2020-01-20,31700.0,80205.2890625
0,2020-01-21,30900.0,67340.2109375
0,2020-01-21,31400.0,80267.1875
0,2020-01-22,31400.0,67363.8359375
0,2020-01-22,31900.0,80322.578125
0,2020-01-23,31500.0,67381.78125
0,2020-01-23,32000.0,80371.4765625
0,2020-01-24,32500.0,67394.0703125
0,2020-01-24,32000.0,67400.6796875
0,2020-01-27,31000.0,80413.515625
0,2020-01-27,31500.0,80498.2109375
0,2020-01-28,31100.0,67386.3203125
0,2020-01-28,31600.0,80512.5859375
0,2020-01-29,31500.0,67370.0390625
0,2020-01-29,31000.0,67347.9609375
0,2020-01-30,31000.0,80520.015625
0,2020-01-30,30500.0,67319.96875
0,2020-01-31,30400.0,80520.2578125
0,2020-01-31,30900.0,80513.296875
0,2020-02-03,31250.0,67286.1484375
0,2020-02-03,31281.0,80448.4921875
0,2020-02-04,30750.0,67149.25
0,2020-02-04,31282.0,80411.9609375
0,2020-02-05,30550.0,67091.6171875
0,2020-02-05,30719.0,80368.1015625
0,2020-02-06,30450.0,67028.03125
0,2020-02-06,30631.0,80316.578125
0,2020-02-07,30750.0,66958.28125
0,2020-02-07,30886.0,80257.3046875
0,2020-02-10,30650.0,66882.3515625
0,2020-02-10,30797.0,80032.25
0,2020-02-11,30750.0,66617.3828125
0,2020-02-11,30697.0,79941.1796875
0,2020-02-12,30906.0,66516.03125
0,2020-02-12,30650.0,66409.1640625
0,2020-02-13,30550.0,79842.3359375
0,2020-02-13,30706.0,79735.4296875
0,2020-02-14,30950.0,66296.296875
0,2020-02-14,31114.0,79618.3046875
0,2020-02-17,31450.0,66177.1796875
0,2020-02-17,31481.0,79206.6953125
0,2020-02-18,31550.0,65779.7421875
0,2020-02-18,31481.0,79047.8671875
